"Cookie Settings","Cookie Settings"
"Cookie Consent","Cookie Consent"
"Privacy Policy","Privacy Policy"
"We use cookies to enhance your browsing experience, analyze site traffic, and personalize content. By clicking ""Accept All"", you consent to our use of cookies.","We use cookies to enhance your browsing experience, analyze site traffic, and personalize content. By clicking ""Accept All"", you consent to our use of cookies."
"Strictly Necessary","Strictly Necessary"
"Essential cookies required for the website to function properly. These cannot be disabled.","Essential cookies required for the website to function properly. These cannot be disabled."
"Analytics","Analytics"
"Help us understand how visitors interact with our website by collecting anonymous data.","Help us understand how visitors interact with our website by collecting anonymous data."
"Marketing","Marketing"
"Used to deliver personalized advertisements and measure their effectiveness.","Used to deliver personalized advertisements and measure their effectiveness."
"Preferences","Preferences"
"Remember your preferences and personalize your experience.","Remember your preferences and personalize your experience."
"Always Active","Always Active"
"Accept All","Accept All"
"Reject All","Reject All"
"Save Preferences","Save Preferences"
"Customize","Customize"
"Back","Back"
"Show cookie details","Show cookie details"
"Hide cookie details","Hide cookie details"
"Toggle %1","Toggle %1"
"via %1","via %1"
"Google Tag Manager","Google Tag Manager"
"Tag management system that loads other tracking services","Tag management system that loads other tracking services"
"Google Analytics 4","Google Analytics 4"
"Web analytics service that tracks and reports website traffic","Web analytics service that tracks and reports website traffic"
"Facebook Pixel","Facebook Pixel"
"Tracks conversions and enables remarketing on Facebook and Instagram","Tracks conversions and enables remarketing on Facebook and Instagram"
"Microsoft Clarity","Microsoft Clarity"
"Behavioral analytics tool that captures user interactions","Behavioral analytics tool that captures user interactions"
"Hotjar","Hotjar"
"Heatmaps and session recordings to understand user behavior","Heatmaps and session recordings to understand user behavior"
"Matomo","Matomo"
"Privacy-focused web analytics platform","Privacy-focused web analytics platform"
"Distinguishes unique users","Distinguishes unique users"
"Maintains session state","Maintains session state"
"Stores browser ID for Facebook advertising","Stores browser ID for Facebook advertising"
"Stores Clarity user ID","Stores Clarity user ID"
"Connects pageviews into a session","Connects pageviews into a session"
"Stores unique visitor ID","Stores unique visitor ID"
"Ensures data from subsequent visits are attributed to same user","Ensures data from subsequent visits are attributed to same user"
"Temporary session cookie","Temporary session cookie"
"2 years","2 years"
"3 months","3 months"
"1 year","1 year"
"1 day","1 day"
"13 months","13 months"
"30 minutes","30 minutes"
"Session","Session"
"Bottom Left","Bottom Left"
"Bottom Right","Bottom Right"
"Modal (Center Overlay)","Modal (Center Overlay)"
"Bar (Bottom Fixed)","Bar (Bottom Fixed)"
"Strict (Block until consent)","Strict (Block until consent)"
"Infrastructure (Load immediately, push consent to dataLayer)","Infrastructure (Load immediately, push consent to dataLayer)"
"Cookie Consent","Cookie Consent"
"Stores your cookie consent preferences","Stores your cookie consent preferences"
"Remembers your cookie consent choices","Remembers your cookie consent choices"
"Session Management","Session Management"
"Manages your shopping session and protects against security threats","Manages your shopping session and protects against security threats"
"Maintains your session while browsing","Maintains your session while browsing"
"Security token preventing cross-site request forgery attacks","Security token preventing cross-site request forgery attacks"
"Page Performance","Page Performance"
"Improves page loading speed and ensures content updates correctly","Improves page loading speed and ensures content updates correctly"
"Local storage of visitor-specific content for faster page loads","Local storage of visitor-specific content for faster page loads"
"Tracks which page sections need to be refreshed","Tracks which page sections need to be refreshed"
"Determines when to clear local browser cache after session ends","Determines when to clear local browser cache after session ends"
"Ensures personalized content is not served from server cache","Ensures personalized content is not served from server cache"
"Indicates when a cached page needs to be refreshed","Indicates when a cached page needs to be refreshed"
"Shopping Cart","Shopping Cart"
"Essential for your shopping cart to function correctly","Essential for your shopping cart to function correctly"
"Stores customer-specific shopping data like cart contents","Stores customer-specific shopping data like cart contents"
"Signals when shopping data needs to be refreshed","Signals when shopping data needs to be refreshed"
"Notifications","Notifications"
"Displays important messages like order confirmations and errors","Displays important messages like order confirmations and errors"
"Stores messages to display to you, such as error or success notifications","Stores messages to display to you, such as error or success notifications"
"Store Selection","Store Selection"
"Remembers your selected store view and language","Remembers your selected store view and language"
"Tracks the store view or language you selected","Tracks the store view or language you selected"
"Guest Checkout","Guest Checkout"
"Enables order tracking and login redirects for guests","Enables order tracking and login redirects for guests"
"Links guest orders to your browser for order tracking","Links guest orders to your browser for order tracking"
"Saves the page to redirect you to after logging in","Saves the page to redirect you to after logging in"
"Persistent Cart","Persistent Cart"
"Restores your shopping cart when you return to the website","Restores your shopping cart when you return to the website"
"Remembers your cart contents between visits","Remembers your cart contents between visits"
"Magento Cookie Notice","Magento Cookie Notice"
"Magento's built-in cookie consent tracking","Magento's built-in cookie consent tracking"
"Indicates you have accepted the cookie policy","Indicates you have accepted the cookie policy"
"Recently Viewed Products","Recently Viewed Products"
"Shows products you have recently looked at","Shows products you have recently looked at"
"Stores IDs of products you have viewed","Stores IDs of products you have viewed"
"Stores previously viewed products from earlier sessions","Stores previously viewed products from earlier sessions"
"Product Comparison","Product Comparison"
"Enables the product comparison feature","Enables the product comparison feature"
"Stores IDs of products you are comparing","Stores IDs of products you are comparing"
"Stores previously compared products from earlier sessions","Stores previously compared products from earlier sessions"
"Product Data Cache","Product Data Cache"
"Caches product information for faster browsing","Caches product information for faster browsing"
"Supports recently viewed and compare product features","Supports recently viewed and compare product features"
"Cookie","Cookie"
"Description","Description"
"Duration","Duration"
