"Cookie Settings","Configuración de cookies"
"Cookie Consent","Consentimiento de cookies"
"Privacy Policy","Política de privacidad"
"We use cookies to enhance your browsing experience, analyze site traffic, and personalize content. By clicking ""Accept All"", you consent to our use of cookies.","Utilizamos cookies para mejorar su experiencia de navegación, analizar el tráfico del sitio y personalizar el contenido. Al hacer clic en ""Aceptar todo"", usted consiente nuestro uso de cookies."
"Strictly Necessary","Estrictamente necesarias"
"Essential cookies required for the website to function properly. These cannot be disabled.","Cookies esenciales necesarias para que el sitio web funcione correctamente. No se pueden desactivar."
"Analytics","Analíticas"
"Help us understand how visitors interact with our website by collecting anonymous data.","Ayúdenos a entender cómo los visitantes interactúan con nuestro sitio web recopilando datos anónimos."
"Marketing","Marketing"
"Used to deliver personalized advertisements and measure their effectiveness.","Se utilizan para ofrecer anuncios personalizados y medir su efectividad."
"Preferences","Preferencias"
"Remember your preferences and personalize your experience.","Recuerde sus preferencias y personalice su experiencia."
"Always Active","Siempre activo"
"Accept All","Aceptar todo"
"Reject All","Rechazar todo"
"Save Preferences","Guardar preferencias"
"Customize","Personalizar"
"Back","Volver"
"Show cookie details","Mostrar detalles de cookies"
"Hide cookie details","Ocultar detalles de cookies"
"Toggle %1","Alternar %1"
"via %1","vía %1"
"Google Tag Manager","Google Tag Manager"
"Tag management system that loads other tracking services","Sistema de gestión de etiquetas que carga otros servicios de seguimiento"
"Google Analytics 4","Google Analytics 4"
"Web analytics service that tracks and reports website traffic","Servicio de analítica web que rastrea e informa sobre el tráfico del sitio"
"Facebook Pixel","Facebook Pixel"
"Tracks conversions and enables remarketing on Facebook and Instagram","Rastrea conversiones y habilita el remarketing en Facebook e Instagram"
"Microsoft Clarity","Microsoft Clarity"
"Behavioral analytics tool that captures user interactions","Herramienta de analítica de comportamiento que captura las interacciones de los usuarios"
"Hotjar","Hotjar"
"Heatmaps and session recordings to understand user behavior","Mapas de calor y grabaciones de sesión para entender el comportamiento del usuario"
"Matomo","Matomo"
"Privacy-focused web analytics platform","Plataforma de analítica web centrada en la privacidad"
"Distinguishes unique users","Distingue usuarios únicos"
"Maintains session state","Mantiene el estado de la sesión"
"Stores browser ID for Facebook advertising","Almacena el ID del navegador para publicidad de Facebook"
"Stores Clarity user ID","Almacena el ID de usuario de Clarity"
"Connects pageviews into a session","Conecta las vistas de página en una sesión"
"Stores unique visitor ID","Almacena el ID de visitante único"
"Ensures data from subsequent visits are attributed to same user","Asegura que los datos de visitas posteriores se atribuyan al mismo usuario"
"Temporary session cookie","Cookie de sesión temporal"
"2 years","2 años"
"3 months","3 meses"
"1 year","1 año"
"1 day","1 día"
"13 months","13 meses"
"30 minutes","30 minutos"
"Session","Sesión"
"Bottom Left","Abajo izquierda"
"Bottom Right","Abajo derecha"
"Modal (Center Overlay)","Modal (superposición centrada)"
"Bar (Bottom Fixed)","Barra (fija abajo)"
"Strict (Block until consent)","Estricto (Bloquear hasta consentimiento)"
"Infrastructure (Load immediately, push consent to dataLayer)","Infraestructura (Cargar inmediatamente, enviar consentimiento a dataLayer)"
"Cookie Consent","Consentimiento de cookies"
"Stores your cookie consent preferences","Almacena sus preferencias de consentimiento de cookies"
"Remembers your cookie consent choices","Recuerda sus elecciones de consentimiento de cookies"
"Session Management","Gestión de sesión"
"Manages your shopping session and protects against security threats","Gestiona su sesión de compra y protege contra amenazas de seguridad"
"Maintains your session while browsing","Mantiene su sesión mientras navega"
"Security token preventing cross-site request forgery attacks","Token de seguridad que previene ataques de falsificación de solicitud entre sitios"
"Page Performance","Rendimiento de página"
"Improves page loading speed and ensures content updates correctly","Mejora la velocidad de carga de páginas y asegura que el contenido se actualice correctamente"
"Local storage of visitor-specific content for faster page loads","Almacenamiento local de contenido específico del visitante para cargas de página más rápidas"
"Tracks which page sections need to be refreshed","Rastrea qué secciones de página necesitan actualizarse"
"Determines when to clear local browser cache after session ends","Determina cuándo limpiar la caché del navegador local después de que termine la sesión"
