"Cookie Settings","Paramètres des cookies"
"Cookie Consent","Consentement aux cookies"
"Privacy Policy","Politique de confidentialité"
"We use cookies to enhance your browsing experience, analyze site traffic, and personalize content. By clicking ""Accept All"", you consent to our use of cookies.","Nous utilisons des cookies pour améliorer votre expérience de navigation, analyser le trafic du site et personnaliser le contenu. En cliquant sur ""Tout accepter"", vous consentez à notre utilisation des cookies."
"Strictly Necessary","Strictement nécessaires"
"Essential cookies required for the website to function properly. These cannot be disabled.","Cookies essentiels nécessaires au bon fonctionnement du site Web. Ils ne peuvent pas être désactivés."
"Analytics","Analyse"
"Help us understand how visitors interact with our website by collecting anonymous data.","Aidez-nous à comprendre comment les visiteurs interagissent avec notre site Web en collectant des données anonymes."
"Marketing","Marketing"
"Used to deliver personalized advertisements and measure their effectiveness.","Utilisés pour diffuser des publicités personnalisées et mesurer leur efficacité."
"Preferences","Préférences"
"Remember your preferences and personalize your experience.","Mémorisez vos préférences et personnalisez votre expérience."
"Always Active","Toujours actif"
"Accept All","Tout accepter"
"Reject All","Tout refuser"
"Save Preferences","Enregistrer les préférences"
"Customize","Personnaliser"
"Back","Retour"
"Show cookie details","Afficher les détails des cookies"
"Hide cookie details","Masquer les détails des cookies"
"Toggle %1","Basculer %1"
"via %1","via %1"
"Google Tag Manager","Google Tag Manager"
"Tag management system that loads other tracking services","Système de gestion de balises qui charge d'autres services de suivi"
"Google Analytics 4","Google Analytics 4"
"Web analytics service that tracks and reports website traffic","Service d'analyse Web qui suit et rapporte le trafic du site"
"Facebook Pixel","Facebook Pixel"
"Tracks conversions and enables remarketing on Facebook and Instagram","Suit les conversions et permet le remarketing sur Facebook et Instagram"
"Microsoft Clarity","Microsoft Clarity"
"Behavioral analytics tool that captures user interactions","Outil d'analyse comportementale qui capture les interactions des utilisateurs"
"Hotjar","Hotjar"
"Heatmaps and session recordings to understand user behavior","Cartes de chaleur et enregistrements de session pour comprendre le comportement des utilisateurs"
"Matomo","Matomo"
"Privacy-focused web analytics platform","Plateforme d'analyse Web axée sur la confidentialité"
"Distinguishes unique users","Distingue les utilisateurs uniques"
"Maintains session state","Maintient l'état de la session"
"Stores browser ID for Facebook advertising","Stocke l'ID du navigateur pour la publicité Facebook"
"Stores Clarity user ID","Stocke l'ID utilisateur Clarity"
"Connects pageviews into a session","Connecte les pages vues en une session"
"Stores unique visitor ID","Stocke l'ID visiteur unique"
"Ensures data from subsequent visits are attributed to same user","Assure que les données des visites ultérieures sont attribuées au même utilisateur"
"Temporary session cookie","Cookie de session temporaire"
"2 years","2 ans"
"3 months","3 mois"
"1 year","1 an"
"1 day","1 jour"
"13 months","13 mois"
"30 minutes","30 minutes"
"Session","Session"
"Bottom Left","En bas à gauche"
"Bottom Right","En bas à droite"
"Modal (Center Overlay)","Modal (superposition centrée)"
"Bar (Bottom Fixed)","Barre (fixée en bas)"
"Strict (Block until consent)","Strict (Bloquer jusqu'au consentement)"
"Infrastructure (Load immediately, push consent to dataLayer)","Infrastructure (Charger immédiatement, envoyer le consentement au dataLayer)"
"Cookie Consent","Consentement aux cookies"
"Stores your cookie consent preferences","Stocke vos préférences de consentement aux cookies"
"Remembers your cookie consent choices","Mémorise vos choix de consentement aux cookies"
"Session Management","Gestion de session"
"Manages your shopping session and protects against security threats","Gère votre session d'achat et protège contre les menaces de sécurité"
"Maintains your session while browsing","Maintient votre session pendant la navigation"
"Security token preventing cross-site request forgery attacks","Jeton de sécurité empêchant les attaques de falsification de requête intersite"
"Page Performance","Performance de la page"
"Improves page loading speed and ensures content updates correctly","Améliore la vitesse de chargement des pages et assure la mise à jour correcte du contenu"
"Local storage of visitor-specific content for faster page loads","Stockage local du contenu spécifique au visiteur pour des chargements de page plus rapides"
"Tracks which page sections need to be refreshed","Suit les sections de page devant être actualisées"
"Determines when to clear local browser cache after session ends","Détermine quand vider le cache du navigateur local après la fin de la session"
"Ensures personalized content is not served from server cache","Assure que le contenu personnalisé n'est pas servi depuis le cache du serveur"
"Indicates when a cached page needs to be refreshed","Indique quand une page en cache doit être actualisée"
"Shopping Cart","Panier d'achat"
"Essential for your shopping cart to function correctly","Essentiel pour le bon fonctionnement de votre panier"
"Stores customer-specific shopping data like cart contents","Stocke les données d'achat spécifiques au client comme le contenu du panier"
"Signals when shopping data needs to be refreshed","Signale quand les données d'achat doivent être actualisées"
"Notifications","Notifications"
"Displays important messages like order confirmations and errors","Affiche les messages importants comme les confirmations de commande et les erreurs"
"Stores messages to display to you, such as error or success notifications","Stocke les messages à vous afficher, comme les notifications d'erreur ou de succès"
"Store Selection","Sélection de la boutique"
"Remembers your selected store view and language","Mémorise la vue de boutique et la langue sélectionnées"
"Tracks the store view or language you selected","Suit la vue de boutique ou la langue que vous avez sélectionnée"
"Guest Checkout","Commande invité"
"Enables order tracking and login redirects for guests","Permet le suivi des commandes et les redirections de connexion pour les invités"
"Links guest orders to your browser for order tracking","Lie les commandes invité à votre navigateur pour le suivi"
"Saves the page to redirect you to after logging in","Enregistre la page vers laquelle vous rediriger après connexion"
"Persistent Cart","Panier persistant"
"Restores your shopping cart when you return to the website","Restaure votre panier lorsque vous revenez sur le site"
"Remembers your cart contents between visits","Mémorise le contenu de votre panier entre les visites"
"Magento Cookie Notice","Avis de cookie Magento"
"Magento's built-in cookie consent tracking","Suivi de consentement aux cookies intégré de Magento"
